sample_id,trunc_frame,distance,align_lag,cosine,norm_l2
p6_repo_default_s404_f3aa73e9bdf4,32,15,0,0.9979443273604591,0.06700696088435529
p6_repo_default_s404_f3aa73e9bdf4,32,16,0,0.9960828265796445,0.11531085625176503
p6_repo_default_s404_f3aa73e9bdf4,32,17,0,0.9976387933740166,0.09737600727937687
p6_repo_default_s404_f3aa73e9bdf4,32,18,0,0.9964172010212231,0.10626022480688124
p6_repo_default_s404_f3aa73e9bdf4,32,19,0,0.9958482563921669,0.10904342848813389
p6_repo_default_s404_f3aa73e9bdf4,32,20,0,0.9964285692521846,0.12092617377262195
p6_repo_default_s404_f3aa73e9bdf4,32,21,0,0.996670023409474,0.10558381157398243
p6_repo_default_s404_f3aa73e9bdf4,32,22,0,0.9967036445497133,0.11537431469916169
p6_repo_default_s404_f3aa73e9bdf4,32,23,0,0.9975009589195902,0.09344547594095359
p6_repo_default_s404_f3aa73e9bdf4,32,24,0,0.99686980256917,0.09757362328188315
